term,estimate,std.error,statistic,p.value
pop,-7.933983700808447e-5,2.082398595535387e-5,-3.8100216345798157,1.3898463733945458e-4
riceav_mdg,-5.715371009806027e-9,2.5434580895479224e-9,-2.2470867647840365,0.024635266928751873
ricesd_mdg,2.089063844144173e-8,9.012187118661787e-9,2.3180431305274283,0.02044770208792457
drght,-8.33226231053469e-6,7.528105905879035e-7,-11.06820548848503,1.8142889199096012e-28
precip,-3.902310217943524e-7,1.113437134960314e-6,-0.35047422934053774,0.7259830938704815
temp,1.032497062492096e-4,3.179649657409536e-5,3.2472038549469393,0.001165587435898619
wind,1.0540879391287695e-5,3.47707429782679e-6,3.0315370016326257,0.002433345800526429
CFM:year2006,0.0036277396794992768,0.0011496722592860326,3.155455522387023,0.0016026484750098846
CFM:year2007,0.002575666906854203,0.0011506973508894713,2.238353034238979,0.025198833756706212
CFM:year2008,7.074998882481195e-4,0.0011510010697218377,0.614682216080912,0.5387651117875313
CFM:year2009,2.835208372038835e-4,0.0011497207367142874,0.24659974213750324,0.8052181869608279
CFM:year2010,0.0016355966394454179,0.001150372550440882,1.4217973462758415,0.15508621668372172
CFM:year2011,7.053922290932581e-4,0.00115108571684011,0.6128059959163229,0.5400051291595074
CFM:year2012,-0.0014477315982716552,0.001150402959278334,-1.2584560797547322,0.20822792271459162
CFM:year2013,0.0036279375106065023,0.0011500087155395535,3.1547043614398786,0.0016067799507888682
CFM:year2014,0.011302882574572997,0.0011502570261238904,9.826397333699573,8.741140129723081e-23
CFM:year2015,0.007529891636460579,0.0011506630930370437,6.543958593984526,6.001526873466096e-11
CFM:year2016,0.010636993317909705,0.0011503884361976752,9.246436232502178,2.3367497666827028e-20
CFM:year2017,0.01804370491307732,0.0011507018410680042,15.6806083636143,2.168860140260183e-55
