term,estimate,std.error,statistic,p.value
distance,-5.6395291189812215e-6,4.1354957381129465e-7,-13.636887754488596,2.540180982601625e-42
pop,1.5350388214106604e-5,9.29312391955343e-6,1.6518006589590648,0.09857698820740789
riceavg,-9.360205803803387e-7,3.0128073176584457e-6,-0.3106805320387412,0.7560438685072184
ricesd,5.5099631866113035e-6,8.376353497300463e-6,0.6577997440517593,0.5106676840002551
drought,-1.0709526663008543e-6,3.2789181068508767e-7,-3.2661769260514215,0.0010903107480221838
maxPrecip,1.1905824481758378e-6,4.929838328423107e-7,2.4150537377899486,0.015733906429110694
maxTemp,1.4009471222286178e-5,1.4395404718234056e-5,0.9731905074222031,0.3304599727505504
wind,6.874706570864376e-7,1.5742708016777858e-6,0.4366914868482366,0.6623356427062423
CFM:year2006,4.597931374669069e-4,5.166847776982994e-4,0.8898910076568726,0.37352563600817024
CFM:year2007,2.521632412348038e-4,5.172840341307512e-4,0.4874753995810855,0.6259220826441871
CFM:year2008,6.075423617756207e-5,5.173545165384887e-4,0.1174325036998923,0.9065174627782042
CFM:year2009,-0.0013336290730105178,5.168996748150778e-4,-2.580053998849249,0.009879293901327123
CFM:year2010,4.0967879054718627e-4,5.172477063428392e-4,0.7920359733323694,0.42834077448651087
CFM:year2011,-1.8096031603987667e-4,5.179745780950256e-4,-0.3493613850807142,0.726818439657107
CFM:year2012,-7.887531183814037e-4,5.174270628791978e-4,-1.5243754626834267,0.12741675280225073
CFM:year2013,9.726611920795855e-5,5.174987179729374e-4,0.18795431917001404,0.850912678803172
CFM:year2014,5.1885726493999e-4,5.176201246735001e-4,1.0023900544192912,0.31615662948512685
CFM:year2015,-3.772026477483361e-4,5.180887195098412e-4,-0.7280657415301454,0.4665743178014027
CFM:year2016,0.0019090352990837071,5.180645183050949e-4,3.6849373613335388,2.2882781927618777e-4
CFM:year2017,0.0019670947208975096,5.187868095892259e-4,3.7917207695682364,1.4965725774122981e-4
