,year,forest_sum,forest_sq_km,forest_pa,forest_cfm,forest_pa_sq_km,forest_cfm_sq_km
1,2000,12199203.67,98813549.76,1481069.11,623412.8019,11996659.79,5049643.695
2,2001,12162977.73,98520119.62,1478840.257,622042.7814,11978606.08,5038546.529
3,2002,12109194.03,98084471.62,1476905.753,618968.1061,11962936.6,5013641.659
4,2003,12049171.76,97598291.26,1475990.322,613031.5677,11955521.61,4965555.698
5,2004,12006895.18,97255850.92,1474213.309,611311.2226,11941127.8,4951620.903
6,2005,11944945.49,96754058.47,1472813.786,607898.5551,11929791.67,4923978.296
7,2006,11868738.62,96136782.78,1471630.836,600318.322,11920209.77,4862578.408
8,2007,11761886.37,95271279.6,1466653.522,594890.1838,11879893.53,4818610.489
9,2008,11682375.38,94627240.55,1464807.731,590316.7886,11864942.63,4781565.988
10,2009,11585970.49,93846361,1463001.252,586280.1972,11850310.14,4748869.597
11,2010,11509022.74,93223084.22,1458499.937,580573.2794,11813849.49,4702643.563
12,2011,11403283.02,92366592.49,1454501.645,575828.9042,11781463.32,4664214.124
13,2012,11321864.04,91707098.73,1450229.917,572108.814,11746862.33,4634081.393
14,2013,11195152.12,90680732.18,1445541.166,565659.785,11708883.44,4581844.259
15,2014,10965716.38,88822302.69,1435708.426,551543.3811,11629238.25,4467501.387
16,2015,10829930.83,87722439.73,1429781.784,540215.1445,11581232.45,4375742.67
17,2016,10679400.28,86503142.26,1420744.35,529475.3007,11508029.23,4288749.936
18,2017,10429704.47,84480606.17,1406906.329,509543.3047,11395941.26,4127300.768
