dist_cart,dist_road,dist_urb,dist_vil,DVSP,elev,for200090m,for200190m,for200290m,for200390m,for200490m,for200590m,for200690m,for200790m,for200890m,for200990m,for201090m,for201190m,for201290m,for201390m,for201490m,for201590m,for201690m,for201790m,lspop2000,lspop2001,lspop2002,lspop2003,lspop2004,pop05,lspop2006,lspop2007,lspop2008,lspop2009,lspop2010,lspop2011,lspop2012,lspop2013,lspop2014,lspop2015,lspop2016,lspop2017,rice,precip,slope,veg,cfm_id,pa_id,CFM,PA
221.72537231,9569.7304688,41216.324219,3080.1555176,27,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,62,34,28,19,19,19,20,20,21,18,20,20,17,19,20,21,16,0,1470,0.643040657,2,252,0,1,0
91.853691101,5353.421875,22179.181641,6307.3066406,4,165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8888888955,0.8888888955,0.8888888955,0.8888888955,6,5,8,8,6,6,5,5,6,6,7,5,5,6,8,7,7,2,0,944,2.231975317,2,588,0,1,0
1102.8652344,6939.7944336,63903.515625,3576.732666,2.5,73,1,1,1,1,1,1,1,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.2222222239,0.2222222239,0.2222222239,0.2222222239,0.2222222239,0.2222222239,6,16,9,7,5,4,5,5,5,5,5,6,6,6,7,8,7,4,0,1436,1.124548316,2,174,0,1,0
1091.2720947,7396.4697266,40552.503906,1789.3999023,24,1024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,18,7,6,24,12,12,11,11,12,8,12,12,12,8,13,12,7,0,1414,11.104159355,1,635,0,1,0
5555.0166016,833.956604,34256.957031,1217.2314453,79,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.555555582,19,16,11,7,8,5,5,6,6,6,7,8,8,8,12,12,13,9,0,2398,1.6865518093,1,1212,0,1,0
3348.427002,17730.541016,32505.863281,4052.7478027,76,631,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,8,3,3,3,4,4,1,4,5,5,2,5,4,2,0,2216,18.203699112,1,853,0,1,0
2973.0576172,40537.5625,66122.59375,2647.9550781,34,79,1,1,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,14,24,20,17,12,7,7,8,8,8,9,9,9,9,9,9,7,2,0,3027,4.007891655,1,163,0,1,0
2388.2333984,2429.8723145,171724.5,6636.4506836,72,140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,7,6,4,3,3,3,3,3,4,3,3,3,4,4,3,2,0,480,0.467890054,3,446,0,1,0
2524.6010742,864.67492676,19295.845703,4232.0517578,8,172,1,1,1,1,1,1,1,1,1,1,0.8888888955,0,0,0,0,0,0,0,6,4,9,7,5,3,4,4,4,5,4,4,4,4,5,6,5,2,0,961,0.562328279,2,1241,0,1,0
3507.1884766,10725.798828,51474.9375,5990.4804688,3.5,94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,0.4931981862,2,577,0,1,0
